unique_vehicle_key,scenario_key,lead_time_days,duration_days,collection_date,pickup_date,dropoff_date,pickup_time,dropoff_time,supplier,car_name,category,pickup_location,dropoff_location,price_per_day_aed,total_price_aed,mileage,source_currency,supplier_rating,rating_text,number_of_reviews,condition_rating,location_rating,cleanliness_rating,efficiency_rating,value_for_money_rating,pickup_time_rating,dropoff_time_rating
769348231_Budget_Sharjah - Industrial Area,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Kia Picanto,Mini,Sharjah - Industrial Area,Sharjah - Industrial Area,71.87,71.87,Unlimited km,USD,9.4,Superb,2,10.0,10.0,10.0,10.0,10.0,8.0,8.0
769347076_Budget_Dubai - Umm Ramool,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Emgrand,Compact,Dubai - Umm Ramool,Dubai - Umm Ramool,71.87,71.87,Unlimited km,USD,6.3,Good,2,8.0,5.0,8.0,5.0,6.0,5.0,7.0
769347286_Budget_Dubai - Umm Ramool,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Kia Picanto,Mini,Dubai - Umm Ramool,Dubai - Umm Ramool,66.2,66.2,Unlimited km,USD,6.3,Good,2,8.0,5.0,8.0,5.0,6.0,5.0,7.0
769346201_Budget_Dubai - Al Garhoud,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Emgrand,Compact,Dubai - Al Garhoud,Dubai - Al Garhoud,71.87,71.87,Unlimited km,USD,5.2,,24,6.0,5.0,6.9,5.1,4.7,3.9,4.7
769346501_Budget_Dubai - Al Garhoud,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Kia Picanto,Mini,Dubai - Al Garhoud,Dubai - Al Garhoud,66.2,66.2,Unlimited km,USD,5.2,,24,6.0,5.0,6.9,5.1,4.7,3.9,4.7
769347736_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Nissan Altima,Standard,Dubai International Airport,Dubai International Airport,88.91,88.91,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
769348031_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Nissan Altima,Standard,Dubai Airport T3,Dubai Airport T3,88.91,88.91,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
831592731_Enterprise_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Enterprise,Geely Coolray,Intermediate,Dubai International Airport,Dubai International Airport,113.34,113.34,Unlimited km,USD,7.1,Very good,826,8.1,6.7,8.3,6.8,7.3,5.2,7.4
804381406_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-30,Intermediate,Dubai International Airport,Dubai International Airport,132.59,132.59,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
822163321_Thrifty_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-30,Intermediate,Dubai International Airport,Dubai International Airport,132.59,132.59,Unlimited km,USD,8.0,Excellent,1232,8.2,8.2,8.4,7.9,7.7,7.4,8.0
769347751_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Monjaro,Standard,Dubai International Airport,Dubai International Airport,113.49,113.49,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
744141821_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-5,Intermediate,Dubai International Airport,Dubai International Airport,137.74,137.74,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
805802411_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Kia Picanto,Mini,Sharjah - Al Khan,Sharjah - Al Khan,81.33,81.33,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
769347106_Budget_Dubai - Umm Ramool,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Toyota Corolla,Compact,Dubai - Umm Ramool,Dubai - Umm Ramool,79.45,79.45,Unlimited km,USD,6.3,Good,2,8.0,5.0,8.0,5.0,6.0,5.0,7.0
831592971_Alamo_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Alamo,Geely Coolray,Intermediate,Dubai International Airport,Dubai International Airport,108.74,108.74,Unlimited km,USD,6.9,Good,2180,7.7,6.8,7.8,6.4,7.2,5.4,7.3
822163311_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-30,Intermediate,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,132.59,132.59,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
769348036_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Geely Monjaro,Standard,Dubai Airport T3,Dubai Airport T3,113.49,113.49,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
821182906_Enterprise_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Enterprise,Changan Deepal S05,Intermediate,Dubai International Airport,Dubai International Airport,122.43,122.43,Unlimited km,USD,7.1,Very good,826,8.1,6.7,8.3,6.8,7.3,5.2,7.4
769346226_Budget_Dubai - Al Garhoud,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Toyota Corolla,Compact,Dubai - Al Garhoud,Dubai - Al Garhoud,79.45,79.45,Unlimited km,USD,5.2,,24,6.0,5.0,6.9,5.1,4.7,3.9,4.7
729206946_Thrifty_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-5,Standard,Dubai International Airport,Dubai International Airport,137.74,137.74,Unlimited km,USD,8.0,Excellent,1232,8.2,8.2,8.4,7.9,7.7,7.4,8.0
804381426_Dollar_Sharjah - Al Khaledia,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-30,Intermediate,Sharjah - Al Khaledia,Sharjah - Al Khaledia,132.59,132.59,Unlimited km,USD,7.7,Very good,5,10.0,4.0,10.0,10.0,6.0,4.0,10.0
821182831_Alamo_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Alamo,Changan Deepal S05,Intermediate,Dubai International Airport,Dubai International Airport,117.47,117.47,Unlimited km,USD,6.9,Good,2180,7.7,6.8,7.8,6.4,7.2,5.4,7.3
744141781_Dollar_Sharjah - Al Khaledia,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-5,Intermediate,Sharjah - Al Khaledia,Sharjah - Al Khaledia,137.74,137.74,Unlimited km,USD,7.7,Very good,5,10.0,4.0,10.0,10.0,6.0,4.0,10.0
701268768_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-5,Standard,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,137.74,137.74,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
822163401_Thrifty_Sharjah - Golden Sands Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-30,Intermediate,Sharjah - Golden Sands Hotel,Sharjah - Golden Sands Hotel,132.59,132.59,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769347326_Budget_Dubai - Umm Ramool,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Nissan Altima,Standard,Dubai - Umm Ramool,Dubai - Umm Ramool,88.91,88.91,Unlimited km,USD,6.3,Good,2,8.0,5.0,8.0,5.0,6.0,5.0,7.0
831593041_Enterprise_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Enterprise,Ford Territory,Standard,Dubai International Airport,Dubai International Airport,124.72,124.72,Unlimited km,USD,7.1,Very good,826,8.1,6.7,8.3,6.8,7.3,5.2,7.4
822314631_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Corolla Cross,Intermediate,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,179.62,179.62,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835180411_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Sharjah - Al Majaz,Sharjah - Al Majaz,108.85,108.85,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
735425021_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,GAC GA4,Standard,Dubai International Airport,Dubai International Airport,96.53,96.53,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835178941_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Sportage,Standard,Sharjah - Al Majaz,Sharjah - Al Majaz,152.17,152.17,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
721685391_Thrifty_Sharjah - Golden Sands Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda CX-5,Standard,Sharjah - Golden Sands Hotel,Sharjah - Golden Sands Hotel,137.74,137.74,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821178641_Enterprise_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Enterprise,JAC S3,Economy,Dubai International Airport,Dubai International Airport,105.51,105.51,Unlimited km,USD,7.1,Very good,826,8.1,6.7,8.3,6.8,7.3,5.2,7.4
831593281_Alamo_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Alamo,Ford Territory,Standard,Dubai International Airport,Dubai International Airport,119.64,119.64,Unlimited km,USD,6.9,Good,2180,7.7,6.8,7.8,6.4,7.2,5.4,7.3
835180386_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Dubai International Airport,Dubai International Airport,130.9,130.9,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
769346566_Budget_Dubai - Al Garhoud,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Nissan Altima,Standard,Dubai - Al Garhoud,Dubai - Al Garhoud,88.91,88.91,Unlimited km,USD,5.2,,24,6.0,5.0,6.9,5.1,4.7,3.9,4.7
835180381_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Dubai International Airport,Dubai International Airport,133.73,133.73,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
821178566_Alamo_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Alamo,JAC S3,Economy,Dubai International Airport,Dubai International Airport,101.27,101.27,Unlimited km,USD,6.9,Good,2180,7.7,6.8,7.8,6.4,7.2,5.4,7.3
835424481_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Dubai International Airport,Dubai International Airport,156.99,156.99,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
835424486_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Dubai International Airport,Dubai International Airport,151.28,151.28,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
701270203_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Hyundai Creta,Compact,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,112.98,112.98,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
835179571_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Fortuner,Full-size,Sharjah - Al Majaz,Sharjah - Al Majaz,187.16,187.16,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
835179231_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Dubai International Airport,Dubai International Airport,168.88,168.88,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
785728371_Enterprise_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Enterprise,Ford Taurus,Full-size,Dubai International Airport,Dubai International Airport,112.24,112.24,Unlimited km,USD,7.1,Very good,826,8.1,6.7,8.3,6.8,7.3,5.2,7.4
769348241_Budget_Sharjah - Industrial Area,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Nissan Altima,Standard,Sharjah - Industrial Area,Sharjah - Industrial Area,117.28,117.28,Unlimited km,USD,9.4,Superb,2,10.0,10.0,10.0,10.0,10.0,8.0,8.0
729206991_Thrifty_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Hyundai Creta,Compact,Dubai International Airport,Dubai International Airport,112.98,112.98,Unlimited km,USD,8.0,Excellent,1232,8.2,8.2,8.4,7.9,7.7,7.4,8.0
744143126_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Hyundai Creta,Compact,Dubai International Airport,Dubai International Airport,112.98,112.98,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
822314791_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Raize,Mini,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,156.18,156.18,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728411896_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Jaguar E-Pace,Standard,Dubai International Airport,Dubai International Airport,147.05,147.05,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835424511_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Sharjah - Al Majaz,Sharjah - Al Majaz,129.24,129.24,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
728411836_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Alfa Romeo Stelvio,Premium,Dubai International Airport,Dubai International Airport,178.88,178.88,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
709200951_Hertz_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Hertz,Honda HR-V,Intermediate,Dubai International Airport,Dubai International Airport,126.52,126.52,Unlimited km,USD,6.3,Good,751,6.9,6.8,6.8,5.8,6.4,4.6,6.7
822313991_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Nissan Kicks,Economy,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,171.05,171.05,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822314726_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Raize,Mini,Dubai - Emirates Tower,Dubai - Emirates Tower,168.21,168.21,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822258241_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Volkswagen T-roc,Intermediate,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,194.34,194.34,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752586181_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Alfa Romeo Tonale,Standard,Dubai International Airport,Dubai International Airport,149.26,149.26,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835179256_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Sharjah - Al Majaz,Sharjah - Al Majaz,146.83,146.83,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
835424616_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Volkswagen T-Roc,Intermediate,Sharjah - Al Majaz,Sharjah - Al Majaz,160.34,160.34,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
805801811_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Nissan Sunny,Economy,Sharjah - Al Khan,Sharjah - Al Khan,91.85,91.85,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
837924926_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Hyundai Creta,Economy,Sharjah - Al Khan,Sharjah - Al Khan,166.37,166.37,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
804381381_Dollar_Dubai - Four Points,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-30,Intermediate,Dubai - Four Points,Dubai - Four Points,132.59,132.59,Unlimited km,USD,6.6,Good,8,10.0,2.0,10.0,8.0,10.0,2.0,4.0
835178916_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Sportage,Standard,Dubai International Airport,Dubai International Airport,174.21,174.21,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
678450211_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Wild Card,Special,Dubai International Airport,Dubai International Airport,116.62,116.62,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835178911_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Sportage,Standard,Dubai International Airport,Dubai International Airport,181.35,181.35,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
805802811_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Mazda 6,Standard,Sharjah - Al Khan,Sharjah - Al Khan,123.46,123.46,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
835179226_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Dubai International Airport,Dubai International Airport,174.58,174.58,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
701270703_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda 6,Standard,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,123.32,123.32,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
735429701_Thrifty_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Mazda 6,Standard,Dubai International Airport,Dubai International Airport,123.32,123.32,Unlimited km,USD,8.0,Excellent,1232,8.2,8.2,8.4,7.9,7.7,7.4,8.0
744143756_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda 6,Standard,Dubai International Airport,Dubai International Airport,123.32,123.32,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
701268393_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Toyota Corolla,Compact,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,109.88,109.88,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
744141731_Dollar_Dubai - Four Points,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda CX-5,Intermediate,Dubai - Four Points,Dubai - Four Points,137.74,137.74,Unlimited km,USD,6.6,Good,8,10.0,2.0,10.0,8.0,10.0,2.0,4.0
736080781_Green Motion_Dubai - Al Rais Shopping Centre,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Mitsubishi Outlander,Full-size,Dubai - Al Rais Shopping Centre,Dubai - Al Rais Shopping Centre,177.96,177.96,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835178921_Europcar_Dubai International Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Sportage,Standard,Dubai International Airport T3,Dubai International Airport T3,181.35,181.35,Unlimited km,USD,7.5,Very good,46,7.4,7.6,8.2,7.3,6.9,7.3,7.6
835178626_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Hyundai Sonata,Full-size,Sharjah - Al Majaz,Sharjah - Al Majaz,137.19,137.19,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
